GEN		MAX FITNESS
0		80.0
1		54.6
2		44.8
3		46.6
4		47.8
5		62.6
6		57.6
7		50.6
8		46.0
9		76.0
10		70.4
11		59.4
12		79.0
13		73.4
14		61.0
15		66.8
16		70.6
17		76.6
18		79.0
19		76.4
20		77.8
21		75.4
22		60.0
23		73.0
24		75.0
25		59.2
26		62.2
27		57.8
28		60.8
29		58.8
30		57.4
31		64.4
32		57.4
33		66.4
34		69.0

GEN		AVG FITNESS
0		37.25714285714286
1		40.714285714285715
2		29.628571428571426
3		34.285714285714285
4		27.88571428571429
5		34.971428571428575
6		34.77142857142857
7		31.942857142857143
8		32.857142857142854
9		41.142857142857146
10		50.48571428571429
11		45.028571428571425
12		52.2
13		50.31428571428571
14		41.57142857142858
15		42.88571428571429
16		48.942857142857136
17		52.91428571428571
18		51.42857142857143
19		54.62857142857143
20		56.057142857142864
21		47.17142857142857
22		39.34285714285715
23		48.82857142857143
24		53.22857142857142
25		40.48571428571428
26		45.857142857142854
27		43.714285714285715
28		39.08571428571429
29		32.48571428571429
30		41.94285714285714
31		45.65714285714286
32		43.60000000000001
33		47.25714285714285
34		34.25714285714286

GEN		BEST INDIVIDUAL
0		fitness: 80.0, genome: [3.76, 4.47, 2.77, 4.339046795384914]
1		fitness: 54.6, genome: [3.61, 4.65, 2.9, 4.60647276813029]
2		fitness: 44.8, genome: [3.8, 3.59, 2.8, 3.8060584563321096]
3		fitness: 46.6, genome: [3.59, 4.05, 2.82, 3.679362336849884]
4		fitness: 47.8, genome: [3.66, 3.77, 2.88, 3.8504576542071014]
5		fitness: 62.6, genome: [3.66, 3.77, 2.88, 3.8504576542071014]
6		fitness: 57.6, genome: [3.84, 3.77, 2.88, 3.8504576542071014]
7		fitness: 50.6, genome: [3.84, 3.77, 2.88, 3.8504576542071014]
8		fitness: 46.0, genome: [3.68, 3.92, 1.27, 3.8763347750787385]
9		fitness: 76.0, genome: [3.68, 3.92, 1.27, 3.8763347750787385]
10		fitness: 70.4, genome: [3.68, 3.92, 1.27, 3.8763347750787385]
11		fitness: 59.4, genome: [3.68, 3.03, 1.26, 4.806342194648455]
12		fitness: 79.0, genome: [4.87, 3.18, 1.65, 4.754022219986003]
13		fitness: 73.4, genome: [4.87, 3.18, 1.65, 4.754022219986003]
14		fitness: 61.0, genome: [4.79, 3.1, 1.26, 4.7910836476212]
15		fitness: 66.8, genome: [4.83, 3.14, 1.41, 4.7883093912774335]
16		fitness: 70.6, genome: [4.62, 1.35, 1.38, 4.588132492684698]
17		fitness: 76.6, genome: [4.62, 1.35, 1.38, 4.588132492684698]
18		fitness: 79.0, genome: [4.6, 2.05, 1.36, 4.774108128683782]
19		fitness: 76.4, genome: [4.6, 1.97, 1.38, 4.326386203839663]
20		fitness: 77.8, genome: [4.61, 1.97, 1.38, 3.6667047723159514]
21		fitness: 75.4, genome: [4.61, 1.97, 1.38, 4.269199597009212]
22		fitness: 60.0, genome: [3.0, 2.09, 1.38, 4.246720403674205]
23		fitness: 73.0, genome: [3.57, 2.74, 1.38, 4.084940071462881]
24		fitness: 75.0, genome: [3.07, 2.24, 1.67, 4.148753691382842]
25		fitness: 59.2, genome: [3.1, 4.65, 1.43, 4.107872993448261]
26		fitness: 62.2, genome: [3.44, 2.64, 1.66, 4.2103523001128655]
27		fitness: 57.8, genome: [3.6, 2.62, 1.82, 3.8646465262647682]
28		fitness: 60.8, genome: [3.76, 2.72, 1.55, 3.3911323460505307]
29		fitness: 58.8, genome: [4.81, 2.58, 1.49, 3.5828447196657662]
30		fitness: 57.4, genome: [4.21, 2.4, 1.53, 2.9845737374863486]
31		fitness: 64.4, genome: [4.81, 2.58, 1.49, 3.5828447196657662]
32		fitness: 57.4, genome: [4.81, 2.58, 1.49, 3.5828447196657662]
33		fitness: 66.4, genome: [4.12, 2.57, 1.52, 4.212284337045239]
34		fitness: 69.0, genome: [4.61, 2.58, 1.49, 3.6603925754190256]

