GEN		MAX FITNESS
0		72.2
1		61.2
2		61.4
3		68.6
4		66.4
5		67.4
6		68.6
7		73.6
8		62.4
9		70.4
10		87.0
11		69.2
12		65.6
13		65.6
14		67.0
15		71.2
16		83.0
17		69.8
18		64.6
19		76.4
20		59.4
21		76.6
22		73.0
23		71.6
24		63.0
25		70.2
26		70.2
27		69.8
28		70.6
29		68.6
30		70.8
31		77.8
32		56.4
33		68.4
34		73.8

GEN		AVG FITNESS
0		48.74285714285714
1		47.114285714285714
2		30.228571428571428
3		39.800000000000004
4		43.42857142857143
5		42.11428571428571
6		38.17142857142857
7		46.05714285714286
8		45.91428571428572
9		49.199999999999996
10		52.48571428571428
11		44.99999999999999
12		48.82857142857143
13		47.685714285714276
14		47.857142857142854
15		45.57142857142857
16		53.74285714285715
17		53.828571428571436
18		39.91428571428571
19		54.199999999999996
20		47.97142857142857
21		49.142857142857146
22		48.57142857142857
23		45.82857142857142
24		44.857142857142854
25		44.65714285714286
26		53.0
27		48.77142857142858
28		48.94285714285714
29		48.88571428571429
30		48.54285714285714
31		48.142857142857146
32		44.628571428571426
33		44.54285714285715
34		49.42857142857144

GEN		BEST INDIVIDUAL
0		fitness: 72.2, genome: [4.09, 3.87, 3.68, 2.7845571441047423]
1		fitness: 61.2, genome: [2.09, 2.79, 4.2, 4.698673717123218]
2		fitness: 61.4, genome: [2.22, 2.76, 1.77, 4.592665102776983]
3		fitness: 68.6, genome: [3.14, 3.19, 3.64, 3.5768437129010184]
4		fitness: 66.4, genome: [3.18, 3.19, 2.61, 3.7182571078266697]
5		fitness: 67.4, genome: [3.14, 3.3, 1.16, 3.62752252793616]
6		fitness: 68.6, genome: [3.15, 3.25, 1.56, 3.6217037599972706]
7		fitness: 73.6, genome: [3.14, 3.26, 1.46, 3.6233107800805175]
8		fitness: 62.4, genome: [3.14, 3.26, 1.46, 3.6233107800805175]
9		fitness: 70.4, genome: [3.14, 3.26, 1.46, 4.016639438308747]
10		fitness: 87.0, genome: [3.31, 2.65, 1.34, 3.622480734425502]
11		fitness: 69.2, genome: [3.23, 2.94, 1.41, 3.9596607124627203]
12		fitness: 65.6, genome: [3.18, 2.93, 1.45, 2.794125467254105]
13		fitness: 65.6, genome: [3.18, 2.93, 1.45, 2.794125467254105]
14		fitness: 67.0, genome: [3.23, 3.18, 1.4, 1.6664222240534232]
15		fitness: 71.2, genome: [2.65, 1.76, 1.4, 3.038883820120966]
16		fitness: 83.0, genome: [3.17, 3.37, 1.43, 2.1942345329718145]
17		fitness: 69.8, genome: [3.17, 3.37, 1.43, 2.1942345329718145]
18		fitness: 64.6, genome: [3.17, 3.37, 1.43, 2.1942345329718145]
19		fitness: 76.4, genome: [3.17, 3.37, 1.43, 4.2793993582338]
20		fitness: 59.4, genome: [4.07, 3.37, 1.43, 3.943683467309213]
21		fitness: 76.6, genome: [3.17, 4.77, 1.43, 4.2793993582338]
22		fitness: 73.0, genome: [3.17, 4.77, 1.43, 4.2793993582338]
23		fitness: 71.6, genome: [2.93, 3.5, 1.97, 4.729296543236008]
24		fitness: 63.0, genome: [3.33, 4.04, 1.43, 4.105865245063569]
25		fitness: 70.2, genome: [4.85, 3.9, 1.87, 4.642217476976503]
26		fitness: 70.2, genome: [3.29, 3.7, 1.28, 3.585486344578812]
27		fitness: 69.8, genome: [3.29, 3.7, 1.28, 4.376145426914697]
28		fitness: 70.6, genome: [3.29, 3.86, 1.64, 3.585486344578812]
29		fitness: 68.6, genome: [2.97, 3.74, 1.6, 3.5332907437905874]
30		fitness: 70.8, genome: [3.29, 3.78, 1.97, 3.7952030538380375]
31		fitness: 77.8, genome: [3.29, 3.78, 1.97, 3.7952030538380375]
32		fitness: 56.4, genome: [3.11, 3.75, 1.61, 3.233527978029623]
33		fitness: 68.4, genome: [3.12, 3.76, 1.72, 3.402369520942267]
34		fitness: 73.8, genome: [3.29, 3.77, 1.9, 3.7491923779906005]

