GEN		MAX FITNESS
0		0.0
1		340.0
2		493.0
3		408.0
4		490.0
5		302.0
6		300.0
7		452.0
8		332.0
9		364.0
10		339.0
11		339.0
12		409.0
13		443.0
14		440.0
15		385.0
16		390.0
17		400.0
18		420.0
19		314.0
20		360.0
21		395.0
22		383.0
23		458.0
24		353.0
25		466.0
26		358.0
27		423.0
28		429.0
29		416.0
30		398.0
31		285.0
32		245.0
33		361.0
34		273.0

GEN		AVG FITNESS
0		0.0
1		114.5
2		198.83333333333334
3		202.66666666666666
4		169.66666666666666
5		151.0
6		172.16666666666666
7		180.0
8		116.5
9		224.5
10		259.6666666666667
11		232.0
12		275.5
13		264.6666666666667
14		285.6666666666667
15		267.1666666666667
16		231.83333333333334
17		292.1666666666667
18		237.16666666666666
19		225.0
20		240.5
21		222.0
22		270.0
23		255.16666666666666
24		261.3333333333333
25		285.6666666666667
26		244.66666666666666
27		279.8333333333333
28		239.16666666666666
29		224.5
30		213.0
31		136.66666666666666
32		137.16666666666666
33		160.16666666666666
34		183.16666666666666

GEN		MAX OFFSPRING FITNESS
0		340.0
1		493.0
2		408.0
3		490.0
4		302.0
5		300.0
6		452.0
7		332.0
8		364.0
9		339.0
10		339.0
11		409.0
12		443.0
13		440.0
14		385.0
15		390.0
16		400.0
17		420.0
18		314.0
19		360.0
20		395.0
21		383.0
22		458.0
23		353.0
24		466.0
25		358.0
26		423.0
27		429.0
28		416.0
29		398.0
30		285.0
31		245.0
32		361.0
33		273.0
34		204.0

GEN		AVG OFFSPRING FITNESS
0		28.733333333333334
1		44.766666666666666
2		44.2
3		45.43333333333333
4		32.46666666666667
5		38.266666666666666
6		45.733333333333334
7		28.7
8		43.1
9		49.93333333333333
10		49.36666666666667
11		59.86666666666667
12		54.666666666666664
13		57.13333333333333
14		51.1
15		47.03333333333333
16		61.36666666666667
17		50.03333333333333
18		43.4
19		48.06666666666667
20		50.766666666666666
21		52.266666666666666
22		57.63333333333333
23		54.4
24		61.1
25		49.6
26		54.4
27		47.833333333333336
28		44.93333333333333
29		46.06666666666667
30		31.766666666666666
31		27.5
32		32.1
33		36.63333333333333
34		31.3

GEN		BEST INDIVIDUAL
0		fitness: 340.0, genome: [1.0, 1.03, 4.11, 4.005530004679562] 0.9199679693463312
1		fitness: 493.0, genome: [1.0, 1.03, 4.11, 3.9905300046795618] 0.4821356460053865
2		fitness: 493.0, genome: [1.0, 1.03, 4.11, 3.9905300046795618] 0.9977902305079491
3		fitness: 490.0, genome: [1.0, 3.03, 4.11, 3.9905300046795618] 0.7977534697141357
4		fitness: 490.0, genome: [1.0, 3.03, 4.11, 3.9905300046795618] 0.23043979581007967
5		fitness: 302.0, genome: [4.41, 3.03, 4.11, 3.9905300046795618] 1.739280591036231
6		fitness: 452.0, genome: [1.0, 3.03, 4.08, 3.9755300046795616] 0.4987104012042851
7		fitness: 452.0, genome: [1.0, 3.03, 4.08, 3.9755300046795616] 1.3516165148599713
8		fitness: 364.0, genome: [5.0, 3.03, 4.09, 5.0] 1.479276246480251
9		fitness: 364.0, genome: [5.0, 3.03, 4.09, 5.0] 1.0899133639044327
10		fitness: 339.0, genome: [5.0, 3.03, 4.09, 5.0] 0.46540714804698124
11		fitness: 409.0, genome: [5.0, 3.03, 2.05, 4.985] 1.2848703442148652
12		fitness: 443.0, genome: [5.0, 3.03, 2.05, 4.985] 0.4105210566379922
13		fitness: 443.0, genome: [5.0, 3.03, 2.05, 4.985] 1.6334488117884713
