GEN		MAX FITNESS
0		0.0
1		325.0
2		323.0
3		144.0
4		178.0
5		169.0
6		145.0
7		167.0
8		351.0
9		259.0
10		203.0
11		298.0
12		184.0
13		201.0
14		197.0
15		303.0
16		306.0
17		453.0
18		498.0
19		303.0
20		305.0
21		304.0
22		312.0
23		340.0
24		452.0
25		348.0
26		366.0
27		400.0
28		393.0
29		395.0
30		415.0
31		345.0
32		343.0
33		340.0
34		350.0

GEN		AVG FITNESS
0		0.0
1		125.33333333333333
2		156.83333333333334
3		92.83333333333333
4		105.0
5		93.16666666666667
6		83.33333333333333
7		104.33333333333333
8		124.0
9		127.5
10		126.16666666666667
11		151.66666666666666
12		115.83333333333333
13		131.16666666666666
14		113.5
15		155.5
16		211.0
17		253.16666666666666
18		242.66666666666666
19		208.83333333333334
20		198.0
21		203.83333333333334
22		229.16666666666666
23		245.83333333333334
24		289.0
25		221.83333333333334
26		248.33333333333334
27		295.1666666666667
28		288.0
29		257.8333333333333
30		286.8333333333333
31		261.5
32		260.8333333333333
33		264.5
34		225.16666666666666

GEN		MAX OFFSPRING FITNESS
0		325.0
1		323.0
2		144.0
3		178.0
4		169.0
5		145.0
6		167.0
7		351.0
8		259.0
9		203.0
10		298.0
11		184.0
12		201.0
13		197.0
14		303.0
15		306.0
16		453.0
17		498.0
18		303.0
19		305.0
20		304.0
21		312.0
22		340.0
23		452.0
24		348.0
25		366.0
26		400.0
27		393.0
28		395.0
29		415.0
30		345.0
31		343.0
32		340.0
33		350.0
34		349.0

GEN		AVG OFFSPRING FITNESS
0		22.6
1		28.166666666666668
2		19.1
3		19.666666666666668
4		18.633333333333333
5		14.633333333333333
6		19.033333333333335
7		26.433333333333334
8		25.5
9		24.966666666666665
10		30.333333333333332
11		23.166666666666668
12		27.966666666666665
13		22.3
14		31.1
15		39.46666666666667
16		50.3
17		53.4
18		41.6
19		39.6
20		42.7
21		45.733333333333334
22		52.166666666666664
23		60.53333333333333
24		40.833333333333336
25		48.333333333333336
26		59.03333333333333
27		53.46666666666667
28		50.266666666666666
29		57.36666666666667
30		52.5
31		49.46666666666667
32		52.86666666666667
33		45.03333333333333
34		51.63333333333333

GEN		BEST INDIVIDUAL
0		fitness: 325.0, genome: [3.56, 3.39, 3.53, 1.3888092274133816] 1.8532536640115234
1		fitness: 325.0, genome: [3.56, 3.39, 3.53, 1.3888092274133816] 1.1517108650017995
2		fitness: 323.0, genome: [3.56, 4.8, 2.12, 1.3888092274133816] 1.9074331970338803
3		fitness: 178.0, genome: [3.56, 4.82, 2.12, 1.3888092274133816] 0.6520542912145886
4		fitness: 178.0, genome: [3.56, 4.82, 2.12, 1.3888092274133816] 1.0546936800863358
5		fitness: 169.0, genome: [1.47, 4.82, 2.12, 1.3888092274133816] 1.197120544611553
6		fitness: 167.0, genome: [1.47, 4.8, 2.12, 2.575225495632765] 0.9297447894336095
7		fitness: 351.0, genome: [1.47, 4.8, 2.12, 2.575225495632765] 0.12169396025017587
8		fitness: 351.0, genome: [1.47, 4.8, 2.12, 2.575225495632765] 1.5724580900068337
9		fitness: 259.0, genome: [5.0, 4.8, 2.12, 2.575225495632765] 1.0582422503991813
10		fitness: 298.0, genome: [4.99, 4.8, 2.12, 2.575225495632765] 1.3249588905129885
11		fitness: 298.0, genome: [4.99, 4.8, 2.12, 2.575225495632765] 1.9168314403339335
12		fitness: 201.0, genome: [4.99, 4.8, 2.12, 2.575225495632765] 1.410790401855893
13		fitness: 201.0, genome: [4.99, 4.8, 2.12, 2.575225495632765] 0.223007361187471
14		fitness: 303.0, genome: [4.99, 4.8, 2.12, 5.0] 1.7420965894779064
15		fitness: 306.0, genome: [4.99, 4.8, 2.12, 5.0] 1.226548383864948
16		fitness: 453.0, genome: [4.99, 4.8, 2.12, 4.985] 1.6296212125707839
17		fitness: 498.0, genome: [4.99, 5.0, 2.12, 4.985] 1.0209601163155393
18		fitness: 498.0, genome: [4.99, 5.0, 2.12, 4.985] 0.07642628713711885
19		fitness: 305.0, genome: [4.99, 4.8, 1.31, 4.985] 0.7578046538789887
20		fitness: 305.0, genome: [4.99, 4.8, 1.31, 4.985] 1.1279026429978156
21		fitness: 312.0, genome: [4.99, 2.85, 1.31, 4.985] 1.763743380844396
22		fitness: 340.0, genome: [4.99, 2.85, 1.32, 4.985] 1.7342839277262978
23		fitness: 452.0, genome: [4.99, 2.85, 1.32, 5.0] 0.9999128806780131
24		fitness: 452.0, genome: [4.99, 2.85, 1.32, 5.0] 1.753892876969279
25		fitness: 366.0, genome: [4.97, 2.85, 1.0, 5.0] 1.924240220063941
26		fitness: 400.0, genome: [4.97, 2.85, 1.0, 5.0] 0.2984385239020737
27		fitness: 400.0, genome: [4.97, 2.85, 1.0, 5.0] 0.5108259015246286
28		fitness: 395.0, genome: [5.0, 2.85, 1.0, 5.0] 0.5026947583403958
29		fitness: 415.0, genome: [5.0, 2.85, 1.0, 5.0] 0.4666260785808958
30		fitness: 415.0, genome: [5.0, 2.85, 1.0, 5.0] 0.6276060418247305
31		fitness: 345.0, genome: [5.0, 2.85, 1.0, 5.0] 0.6863715474052305
32		fitness: 343.0, genome: [5.0, 2.85, 1.0, 5.0] 0.8754443975422039
33		fitness: 350.0, genome: [5.0, 2.85, 1.0, 5.0] 0.38801624192837547
34		fitness: 350.0, genome: [5.0, 2.85, 1.0, 5.0] 0.32807801869652464

GEN		BEST PARENT
0		fitness: 0.0, genome: [1.37, 1.84, 4.18, 4.399404189773422] 1.8570957114409918
1		fitness: 325.0, genome: [3.56, 3.39, 3.53, 1.3888092274133816] 0.7885278339702579
2		fitness: 323.0, genome: [3.56, 4.8, 2.12, 1.3888092274133816] 1.5728592885153774
3		fitness: 144.0, genome: [3.56, 4.82, 2.12, 1.3888092274133816] 1.4049285577132489
4		fitness: 178.0, genome: [3.56, 4.82, 2.12, 1.3888092274133816] 0.5971623020097141
5		fitness: 169.0, genome: [1.47, 4.82, 2.12, 1.3888092274133816] 0.5912963784511247
6		fitness: 145.0, genome: [1.47, 4.8, 2.12, 1.3888092274133816] 0.9950666159948476
7		fitness: 167.0, genome: [1.47, 4.8, 2.12, 2.575225495632765] 0.018828179507324405
8		fitness: 351.0, genome: [1.47, 4.8, 2.12, 2.575225495632765] 0.2167746551407641
9		fitness: 259.0, genome: [5.0, 4.8, 2.12, 2.575225495632765] 0.46287222042592036
10		fitness: 203.0, genome: [1.44, 4.8, 2.12, 2.575225495632765] 1.6829954391997348
11		fitness: 298.0, genome: [4.99, 4.8, 2.12, 2.575225495632765] 0.30876048936607003
12		fitness: 184.0, genome: [2.63, 4.8, 2.12, 2.575225495632765] 0.01629557507369417
13		fitness: 201.0, genome: [4.99, 4.8, 2.12, 2.575225495632765] 0.9562093441571204
14		fitness: 197.0, genome: [4.99, 4.8, 2.12, 3.211868232967827] 0.45042171341027304
15		fitness: 303.0, genome: [4.99, 4.8, 2.12, 5.0] 1.8987709529417973
16		fitness: 306.0, genome: [4.99, 4.8, 2.12, 5.0] 1.595564423885225
17		fitness: 453.0, genome: [4.99, 4.8, 2.12, 4.985] 1.263968186889796
18		fitness: 498.0, genome: [4.99, 5.0, 2.12, 4.985] 0.969027515716665
19		fitness: 303.0, genome: [4.99, 4.8, 1.31, 4.985] 0.1749274897953199
20		fitness: 305.0, genome: [4.99, 4.8, 1.31, 4.985] 0.6613233337994613
21		fitness: 304.0, genome: [4.99, 4.8, 1.31, 4.985] 1.238356803281947
