GEN		MAX FITNESS
0		77.4
1		72.2
2		74.4
3		77.4
4		79.8
5		73.4
6		67.6
7		71.4
8		81.4
9		65.4
10		55.8
11		63.2
12		59.0
13		53.2
14		60.0
15		72.8
16		56.2
17		51.6
18		58.0
19		54.4
20		48.6
21		60.8
22		64.4
23		63.2
24		63.4
25		61.2
26		58.2
27		58.8
28		65.2
29		65.2
30		57.8
31		54.2
32		68.2
33		58.8
34		66.6

GEN		AVG FITNESS
0		47.685714285714276
1		46.0
2		55.48571428571429
3		54.800000000000004
4		57.0
5		49.971428571428575
6		52.142857142857146
7		51.628571428571426
8		54.285714285714285
9		44.05714285714286
10		36.65714285714285
11		42.34285714285714
12		35.91428571428572
13		37.371428571428574
14		46.51428571428571
15		43.05714285714286
16		39.77142857142858
17		29.314285714285713
18		33.31428571428571
19		34.971428571428575
20		28.771428571428572
21		39.714285714285715
22		48.285714285714285
23		39.91428571428571
24		29.285714285714285
25		43.62857142857143
26		42.91428571428571
27		42.028571428571425
28		47.542857142857144
29		52.60000000000001
30		42.17142857142857
31		38.142857142857146
32		42.0
33		40.08571428571429
34		47.65714285714285

GEN		BEST INDIVIDUAL
0		fitness: 77.4, genome: [4.18, 1.56, 2.16, 1.736126188361685]
1		fitness: 72.2, genome: [3.89, 2.46, 2.25, 3.8127518269940452]
2		fitness: 74.4, genome: [4.33, 4.2, 3.37, 3.8123620289122426]
3		fitness: 77.4, genome: [4.29, 3.06, 2.22, 4.448968259386129]
4		fitness: 79.8, genome: [4.33, 3.44, 2.79, 4.629341870724041]
5		fitness: 73.4, genome: [4.27, 3.23, 2.54, 3.766244108427504]
6		fitness: 67.6, genome: [4.33, 3.44, 2.79, 4.629341870724041]
7		fitness: 71.4, genome: [4.4, 3.43, 2.62, 4.506943816114241]
8		fitness: 81.4, genome: [4.34, 3.37, 2.54, 4.0992273378289985]
9		fitness: 65.4, genome: [4.38, 3.37, 2.33, 3.539851046456234]
10		fitness: 55.8, genome: [4.38, 3.37, 2.33, 3.539851046456234]
11		fitness: 63.2, genome: [4.19, 3.45, 2.1, 3.350133805118618]
12		fitness: 59.0, genome: [4.38, 4.16, 2.33, 3.539851046456234]
13		fitness: 53.2, genome: [4.34, 2.64, 1.87, 3.5256058259364735]
14		fitness: 60.0, genome: [4.35, 3.48, 2.23, 3.529081216629198]
15		fitness: 72.8, genome: [4.35, 3.45, 2.25, 3.410070505891146]
16		fitness: 56.2, genome: [3.02, 3.67, 3.57, 3.660271880281728]
17		fitness: 51.6, genome: [4.23, 3.0, 1.82, 4.392739570332859]
18		fitness: 58.0, genome: [4.14, 3.17, 1.9, 2.43566479285676]
19		fitness: 54.4, genome: [4.21, 3.3, 1.89, 4.042519994073983]
20		fitness: 48.6, genome: [4.17, 2.41, 2.47, 1.5133716419764904]
21		fitness: 60.8, genome: [4.15, 2.65, 2.43, 2.7749820487197066]
22		fitness: 64.4, genome: [4.2, 2.16, 2.34, 1.9275807870499317]
23		fitness: 63.2, genome: [4.03, 3.0, 1.85, 1.029331844185184]
24		fitness: 63.4, genome: [4.08, 2.76, 1.96, 1.4648690805500615]
25		fitness: 61.2, genome: [4.08, 2.76, 1.96, 1.4648690805500615]
26		fitness: 58.2, genome: [4.07, 2.96, 1.43, 2.4558757740258534]
27		fitness: 58.8, genome: [4.07, 2.96, 1.43, 1.8126539134916335]
28		fitness: 65.2, genome: [4.07, 2.96, 1.43, 1.8126539134916335]
29		fitness: 65.2, genome: [3.45, 2.63, 1.49, 1.5860603728949836]
30		fitness: 57.8, genome: [4.06, 3.25, 1.4, 1.7302218129947013]
31		fitness: 54.2, genome: [4.06, 3.25, 1.4, 1.7302218129947013]
32		fitness: 68.2, genome: [4.11, 2.66, 1.39, 4.606644115989461]
33		fitness: 58.8, genome: [4.11, 2.66, 1.39, 4.606644115989461]
34		fitness: 66.6, genome: [3.71, 2.49, 1.4, 3.4664676222790867]

