GEN		MAX FITNESS
0		57.4
1		63.4
2		86.6
3		79.6
4		59.2
5		63.2
6		71.8
7		57.8
8		53.4
9		62.4
10		47.4
11		58.2
12		51.8
13		55.2
14		66.8
15		62.4
16		51.4
17		49.4
18		76.8
19		49.2
20		55.8
21		51.2
22		53.6
23		62.6
24		60.6
25		63.2
26		55.4
27		57.4
28		54.2
29		54.0
30		55.2
31		50.0
32		67.4
33		58.6
34		50.2

GEN		AVG FITNESS
0		38.971428571428575
1		40.971428571428575
2		51.31428571428571
3		45.34285714285715
4		41.971428571428575
5		46.65714285714285
6		41.771428571428565
7		38.771428571428565
8		38.45714285714286
9		39.142857142857146
10		30.228571428571428
11		39.371428571428574
12		37.60000000000001
13		40.114285714285714
14		36.42857142857143
15		36.371428571428574
16		33.08571428571428
17		30.057142857142857
18		42.68571428571429
19		31.514285714285716
20		39.371428571428574
21		34.771428571428565
22		34.91428571428571
23		38.97142857142857
24		39.199999999999996
25		39.57142857142857
26		34.285714285714285
27		37.714285714285715
28		36.0
29		38.371428571428574
30		35.285714285714285
31		39.028571428571425
32		42.34285714285715
33		42.800000000000004
34		36.17142857142857

GEN		BEST INDIVIDUAL
0		fitness: 57.4, genome: [2.23, 3.69, 1.98, 4.101440366697404]
1		fitness: 63.4, genome: [4.8, 3.22, 2.84, 4.311579899643272]
2		fitness: 86.6, genome: [4.8, 3.22, 2.84, 4.311579899643272]
3		fitness: 79.6, genome: [3.54, 3.68, 1.79, 4.111104387858659]
4		fitness: 59.2, genome: [3.54, 3.68, 2.26, 4.111104387858659]
5		fitness: 63.2, genome: [4.5, 3.58, 2.7, 4.298214922824393]
6		fitness: 71.8, genome: [3.54, 3.56, 1.86, 4.111104387858659]
7		fitness: 57.8, genome: [4.73, 3.5, 1.86, 4.06832354021018]
8		fitness: 53.4, genome: [4.73, 3.5, 1.86, 4.06832354021018]
9		fitness: 62.4, genome: [4.08, 3.53, 1.86, 3.9585633063810173]
10		fitness: 47.4, genome: [4.33, 3.51, 1.92, 4.104645486784288]
11		fitness: 58.2, genome: [4.11, 3.51, 1.95, 4.097133098940059]
12		fitness: 51.8, genome: [4.11, 3.51, 1.95, 4.097133098940059]
13		fitness: 55.2, genome: [4.11, 3.51, 1.95, 4.097133098940059]
14		fitness: 66.8, genome: [4.08, 3.51, 1.95, 4.067246805111652]
15		fitness: 62.4, genome: [3.88, 3.51, 1.95, 4.089550269274217]
16		fitness: 51.4, genome: [4.02, 3.51, 1.95, 4.0674021666881295]
17		fitness: 49.4, genome: [4.02, 4.21, 1.95, 4.0674021666881295]
18		fitness: 76.8, genome: [2.86, 3.51, 1.95, 4.083303183586659]
19		fitness: 49.2, genome: [3.53, 4.1, 1.95, 3.553747995201883]
20		fitness: 55.8, genome: [3.39, 3.91, 1.85, 3.6540341790394675]
21		fitness: 51.2, genome: [3.21, 3.89, 1.94, 3.6591935727037113]
22		fitness: 53.6, genome: [3.2, 3.88, 1.94, 3.6592228630723698]
23		fitness: 62.6, genome: [4.83, 3.88, 1.94, 3.6592089949102773]
24		fitness: 60.6, genome: [3.21, 2.89, 1.94, 3.659220495655079]
25		fitness: 63.2, genome: [4.14, 3.65, 1.94, 3.659209477569148]
26		fitness: 55.4, genome: [4.57, 3.14, 1.94, 3.6699910843221377]
27		fitness: 57.4, genome: [4.57, 3.14, 1.94, 3.6699910843221377]
28		fitness: 54.2, genome: [4.57, 3.14, 1.94, 3.6699910843221377]
29		fitness: 54.0, genome: [3.78, 1.4, 1.94, 3.682925953137592]
30		fitness: 55.2, genome: [4.56, 3.71, 2.21, 4.220064460016193]
31		fitness: 50.0, genome: [4.05, 2.08, 1.98, 3.69334330264114]
32		fitness: 67.4, genome: [4.05, 2.08, 1.98, 3.69334330264114]
33		fitness: 58.6, genome: [4.05, 2.08, 1.98, 3.69334330264114]
34		fitness: 50.2, genome: [4.06, 2.36, 2.42, 4.310173632151186]

